354.binpsllh,460,1
aa_rokasA4.binpsllh,1806035,0.998
aa_rokasA8.binpsllh,504850,0.973
dna_PeteD8.binpsllh,3011099,0.995
dna_rokasD1.binpsllh,1327505,0.987
dna_rokasD4.binpsllh,239763,0.957
dna_rokasD7.binpsllh,21410970,0.999
fusob.binpsllh,1602,0.666
multi100.binpsllh,767,1
prim.binpsllh,898,0.666
